main_term,path,full_term,level,type,value,code
AMDS Hybrid Prosthesis,AMDS Hybrid Prosthesis,AMDS Hybrid Prosthesis,0,use,"Intraluminal Device, Uncovered with Support Cuff in New Technology",
Amniocentesis,Amniocentesis,Amniocentesis,0,see,"Drainage, Products of Conception 1090",1090
Amnioinfusion,Amnioinfusion,Amnioinfusion,0,see,"Introduction of substance in or on, Products of Conception 3E0E",3E0E
Amnioscopy,Amnioscopy,Amnioscopy,0,code,,10J08ZZ
Amniotomy,Amniotomy,Amniotomy,0,see,"Drainage, Products of Conception 1090",1090
AMPLATZER(R) Muscular VSD Occluder,AMPLATZER(R) Muscular VSD Occluder,AMPLATZER(R) Muscular VSD Occluder,0,use,Synthetic Substitute,
Amputation,Amputation,Amputation,0,see,Detachment,
AMS 800(R) Urinary Control System,AMS 800(R) Urinary Control System,AMS 800(R) Urinary Control System,0,use,Artificial Sphincter in Urinary System,
AMTAGVI(tm),AMTAGVI(tm),AMTAGVI(tm),0,use,Lifileucel Immunotherapy,
Anal orifice,Anal orifice,Anal orifice,0,use,Anus,
Analog radiography,Analog radiography,Analog radiography,0,see,Plain Radiography,
Analog radiology,Analog radiology,Analog radiology,0,see,Plain Radiography,
Anastomosis,Anastomosis,Anastomosis,0,see,Bypass,
Anatomical snuffbox,Anatomical snuffbox,Anatomical snuffbox,1,use,"Lower Arm and Wrist Muscle, Right",
Anatomical snuffbox,Anatomical snuffbox,Anatomical snuffbox,1,use,"Lower Arm and Wrist Muscle, Left",
Anconeus muscle,Anconeus muscle,Anconeus muscle,1,use,"Lower Arm and Wrist Muscle, Right",
Anconeus muscle,Anconeus muscle,Anconeus muscle,1,use,"Lower Arm and Wrist Muscle, Left",
"Andexanet Alfa, Factor Xa Inhibitor Reversal Agent","Andexanet Alfa, Factor Xa Inhibitor Reversal Agent","Andexanet Alfa, Factor Xa Inhibitor Reversal Agent",0,use,"Coagulation Factor Xa, Inactivated",
Andexxa,Andexxa,Andexxa,0,use,"Coagulation Factor Xa, Inactivated",
AneuRx(R) AAA Advantage(R),AneuRx(R) AAA Advantage(R),AneuRx(R) AAA Advantage(R),0,use,Intraluminal Device,
Angiectomy,Angiectomy,Angiectomy,1,see,"Excision, Heart and Great Vessels 02B",
Angiectomy,Angiectomy,Angiectomy,1,see,"Excision, Upper Arteries 03B",
Angiectomy,Angiectomy,Angiectomy,1,see,"Excision, Lower Arteries 04B",
Angiectomy,Angiectomy,Angiectomy,1,see,"Excision, Upper Veins 05B",
Angiectomy,Angiectomy,Angiectomy,1,see,"Excision, Lower Veins 06B",
